Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
AIMDQ75R020M1H,https://www.infineon.com/part/AIMDQ75R020M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active,AIMDQ75R020M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,81 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r020m1h-datasheet-en.pdf,,,,,,
AIMDQ75R027M1H,https://www.infineon.com/part/AIMDQ75R027M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active,AIMDQ75R027M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,64 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r027m1h-datasheet-en.pdf,,,,,,
AIMDQ75R060M1H,https://www.infineon.com/part/AIMDQ75R060M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active,AIMDQ75R060M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,34 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r060m1h-datasheet-en.pdf,,,,,,
IPW50R250CP,https://www.infineon.com/part/IPW50R250CP,https://www.infineon.com/package/PG-TO247-3-21,active,IPW50R250CPFKSA1,PG-TO247-3,TO247,Industrial,500 V,13 A,CoolMOS™ CP,,250 mΩ,27 nC,1.12 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw50r250cp-ds-en.pdf,2.5 V,3.5 V,,,,
SPW55N80C3,https://www.infineon.com/part/SPW55N80C3,https://www.infineon.com/package/PG-TO247-3-41,active,SPW55N80C3FKSA1,PG-TO247-3,TO247,Industrial,800 V,54.9 A,CoolMOS™ C3,3 V,85 mΩ,288 nC,7.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spw55n80c3-ds-en.pdf,2.1 V,3.9 V,,,,
IPA50R280CE,https://www.infineon.com/part/IPA50R280CE,https://www.infineon.com/package/PG-TO220-3-312,active,IPA50R280CEXKSA2,PG-TO220-3,TO220 FullPAK,Standard,500 V,13 A,CoolMOS™ CE,3 V,280 mΩ,32.6 nC,0.39 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r280ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPL65R165CFD,https://www.infineon.com/part/IPL65R165CFD,https://www.infineon.com/package/PG-VSON-4-1,active,IPL65R165CFDAUMA2,PG-VSON-4,Thin-PAK 8x8,Industrial,650 V,21.3 A,CoolMOS™ CFD2,4 V,165 mΩ,86 nC,1.53 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipl65r165cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPA50R800CE,https://www.infineon.com/part/IPA50R800CE,https://www.infineon.com/package/PG-TO220-3-312,active,IPA50R800CEXKSA2,PG-TO220-3,TO220 FullPAK,Standard,500 V,5 A,CoolMOS™ CE,3 V,800 mΩ,12.4 nC,0.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r800ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPD60R600P6,https://www.infineon.com/part/IPD60R600P6,https://www.infineon.com/package/PG-TO252-3-313,active,IPD60R600P6ATMA1,PG-TO252-3,DPAK,Industrial,600 V,7.3 A,CoolMOS™ P6,4 V,600 mΩ,12 nC,0.37 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r600p6-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPP60R190P6,https://www.infineon.com/part/IPP60R190P6,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R190P6XKSA1,PG-TO220-3,TO220,Industrial,600 V,20.2 A,CoolMOS™ P6,4 V,190 mΩ,37 nC,0.96 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r190p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPW60R160P6,https://www.infineon.com/part/IPW60R160P6,https://www.infineon.com/package/PG-TO247-3-41,active,IPW60R160P6FKSA1,PG-TO247-3,TO247,Industrial,600 V,23.8 A,CoolMOS™ P6,4 V,160 mΩ,44 nC,1.47 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r160p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPA65R045C7,https://www.infineon.com/part/IPA65R045C7,,active,IPA65R045C7XKSA1,PG-TO220-3,TO220 FullPAK,Industrial,650 V,18 A,CoolMOS™ C7,3.5 V,45 mΩ,93 nC,4.81 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa65r045c7-datasheet-en.pdf,3 V,4 V,,,,
IPW60R099P6,https://www.infineon.com/part/IPW60R099P6,https://www.infineon.com/package/PG-TO247-3-44,active,IPW60R099P6XKSA1,PG-TO247-3,TO247,Industrial,600 V,37.9 A,CoolMOS™ P6,4 V,99 mΩ,70 nC,1.95 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r099p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPI60R199CP,https://www.infineon.com/part/IPI60R199CP,,active,IPI60R199CPXKSA2,PG-TO262-3,I2PAK,Non-Automotive,600 V,16 A,CoolMOS™ CP,3 V,,33 nC,1.2 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipi60r199cp-ds-en.pdf,2.5 V,3.5 V,,,,
IPD50R399CP,https://www.infineon.com/part/IPD50R399CP,https://www.infineon.com/package/PG-TO252-3-313,active,IPD50R399CPATMA1,PG-TO252-3,DPAK,Industrial,500 V,9 A,CoolMOS™ CP,,399 mΩ,13 nC,0.53 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd50r399cp-datasheet-en.pdf,2.5 V,3.5 V,,,,
IPP50R190CE,https://www.infineon.com/part/IPP50R190CE,https://www.infineon.com/package/PG-TO220-3-1,active,IPP50R190CEXKSA1,PG-TO220-3,TO220,Standard,500 V,18.5 A,CoolMOS™ CE,3 V,190 mΩ,47.2 nC,0.72 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp50r190ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPW65R019C7,https://www.infineon.com/part/IPW65R019C7,https://www.infineon.com/package/PG-TO247-3-44,active,IPW65R019C7FKSA1,PG-TO247-3,TO247,Industrial,650 V,75 A,CoolMOS™ C7,3.5 V,19 mΩ,215 nC,10.19 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r019c7-ds-en.pdf,3 V,4 V,,,,
IPW65R190C7,https://www.infineon.com/part/IPW65R190C7,https://www.infineon.com/package/PG-TO247-3-44,active,IPW65R190C7XKSA1,PG-TO247-3,TO247,Industrial,650 V,13 A,CoolMOS™ C7,3.5 V,190 mΩ,23 nC,1.37 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r190c7-ds-en.pdf,3 V,4 V,,,,
IPP60R099P6,https://www.infineon.com/part/IPP60R099P6,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R099P6XKSA1,PG-TO220-3,TO220,Industrial,600 V,37.9 A,CoolMOS™ P6,4 V,99 mΩ,70 nC,2.09 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp60r099p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPB50R140CP,https://www.infineon.com/part/IPB50R140CP,https://www.infineon.com/package/PG-TO263-3-2,active,IPB50R140CPATMA1,PG-TO263-3,D2PAK,Industrial,500 V,23 A,CoolMOS™ CP,,140 mΩ,48 nC,1.54 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb50r140cp-ds-en.pdf,2.5 V,3.5 V,,,,
IPW65R080CFD,https://www.infineon.com/part/IPW65R080CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R080CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,43.3 A,CoolMOS™ CFD2,4 V,80 mΩ,170 nC,3.52 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r080cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPA50R190CE,https://www.infineon.com/part/IPA50R190CE,https://www.infineon.com/package/PG-TO220-3-312,active,IPA50R190CEXKSA2,PG-TO220-3,TO220 FullPAK,Standard,500 V,18.5 A,CoolMOS™ CE,3 V,190 mΩ,47.2 nC,0.72 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r190ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPA65R310CFD,https://www.infineon.com/part/IPA65R310CFD,https://www.infineon.com/package/PG-TO220-3-313,active,IPA65R310CFDXKSA2,PG-TO220-3,TO220 FullPAK,Industrial,650 V,11.4 A,CoolMOS™ CFD2,4 V,310 mΩ,41 nC,0.84 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r310cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPP65R150CFD,https://www.infineon.com/part/IPP65R150CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R150CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,22.4 A,CoolMOS™ CFD2,4 V,150 mΩ,86 nC,1.41 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r150cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPW65R150CFD,https://www.infineon.com/part/IPW65R150CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R150CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,22.4 A,CoolMOS™ CFD2,4 V,150 mΩ,86 nC,1.61 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r150cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPA65R110CFD,https://www.infineon.com/part/IPA65R110CFD,https://www.infineon.com/package/PG-TO220-3-313,active,IPA65R110CFDXKSA2,PG-TO220-3,TO220 FullPAK,Industrial,650 V,31.2 A,CoolMOS™ CFD2,4 V,110 mΩ,118 nC,2.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r110cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPW65R110CFD,https://www.infineon.com/part/IPW65R110CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R110CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,31.2 A,CoolMOS™ CFD2,4 V,110 mΩ,118 nC,2.49 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r110cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPW65R045C7,https://www.infineon.com/part/IPW65R045C7,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R045C7FKSA1,PG-TO247-3,TO247,Industrial,650 V,46 A,CoolMOS™ C7,3.5 V,45 mΩ,93 nC,5.13 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r045c7-ds-en.pdf,3 V,4 V,,,,
IPP65R420CFD,https://www.infineon.com/part/IPP65R420CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R420CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,8.7 A,CoolMOS™ CFD2,4 V,420 mΩ,32 nC,0.68 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r420cfd-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPA60R190P6,https://www.infineon.com/part/IPA60R190P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R190P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,9.5 A,CoolMOS™ P6,4 V,190 mΩ,37 nC,0.84 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r190p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPW65R065C7,https://www.infineon.com/part/IPW65R065C7,https://www.infineon.com/package/PG-TO247-3-44,active,IPW65R065C7XKSA1,PG-TO247-3,TO247,Industrial,650 V,33 A,CoolMOS™ C7,3.5 V,65 mΩ,64 nC,3.04 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r065c7-ds-en.pdf,3 V,4 V,,,,
IPA60R125P6,https://www.infineon.com/part/IPA60R125P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R125P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,30 A,CoolMOS™ P6,4 V,125 mΩ,56 nC,1.39 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r125p6-ds-en-09018a9080012004.pdf,3.5 V,4.5 V,,,,
IPA60R099P6,https://www.infineon.com/part/IPA60R099P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R099P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,37.9 A,CoolMOS™ P6,4 V,99 mΩ,70 nC,1.84 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa60r099p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPA50R140CP,https://www.infineon.com/part/IPA50R140CP,https://www.infineon.com/package/PG-TO220-3-111,active,IPA50R140CPXKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,500 V,23 A,CoolMOS™ CP,,140 mΩ,48 nC,1.54 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r140cp-ds-en.pdf,2.5 V,3.5 V,,,,
IPB50R199CP,https://www.infineon.com/part/IPB50R199CP,https://www.infineon.com/package/PG-TO263-3-2,active,IPB50R199CPATMA1,PG-TO263-3,D2PAK,Industrial,500 V,17 A,CoolMOS™ CP,,199 mΩ,34 nC,1.13 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipb50r199cp-ds-en.pdf,2.5 V,3.5 V,,,,
SPP08N80C3,https://www.infineon.com/part/SPP08N80C3,https://www.infineon.com/package/PG-TO220-3-1,active,SPP08N80C3XKSA1,PG-TO220-3,TO220,Industrial,800 V,8 A,CoolMOS™ C3,3 V,650 mΩ,40 nC,0.83 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spp08n80c3-ds-en.pdf,2.1 V,3.9 V,,,,
IPB65R110CFD,https://www.infineon.com/part/IPB65R110CFD,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R110CFDATMA2,PG-TO263-3,D2PAK,Industrial,650 V,31.2 A,CoolMOS™ CFD2,4 V,110 mΩ,118 nC,2.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r110cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPP65R225C7,https://www.infineon.com/part/IPP65R225C7,https://www.infineon.com/package/PG-TO220-3-1,active,IPP65R225C7XKSA1,PG-TO220-3,TO220,Industrial,650 V,11 A,CoolMOS™ C7,3.5 V,225 mΩ,20 nC,0.87 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp65r225c7-ds-en.pdf,3 V,4 V,,,,
IPP65R110CFD,https://www.infineon.com/part/IPP65R110CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R110CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,31.2 A,CoolMOS™ CFD2,4 V,110 mΩ,118 nC,2.25 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r110cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPP50R250CP,https://www.infineon.com/part/IPP50R250CP,https://www.infineon.com/package/PG-TO220-3-1,active,IPP50R250CPXKSA1,PG-TO220-3,TO220,Industrial,500 V,13 A,CoolMOS™ CP,,250 mΩ,27 nC,0.77 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipp50r250cp-ds-en.pdf,2.5 V,3.5 V,,,,
IPP65R190CFD,https://www.infineon.com/part/IPP65R190CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R190CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,17.5 A,CoolMOS™ CFD2,4 V,190 mΩ,68 nC,1.13 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPA65R190CFD,https://www.infineon.com/part/IPA65R190CFD,https://www.infineon.com/package/PG-TO220-3-313,active,IPA65R190CFDXKSA2,PG-TO220-3,TO220 FullPAK,Industrial,650 V,17.5 A,CoolMOS™ CFD2,4 V,190 mΩ,68 nC,1.13 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPW65R041CFD,https://www.infineon.com/part/IPW65R041CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R041CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,68.5 A,CoolMOS™ CFD2,4 V,41 mΩ,300 nC,5.67 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw65r041cfd-ds-v02-00-en.pdf,3.5 V,4.5 V,,,,
IPZ65R019C7,https://www.infineon.com/part/IPZ65R019C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ65R019C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,650 V,75 A,CoolMOS™ C7,3.5 V,19 mΩ,215 nC,10.53 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz65r019c7-ds-en.pdf,3 V,4 V,,,,
IPA60R600P6,https://www.infineon.com/part/IPA60R600P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R600P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,4.9 A,CoolMOS™ P6,4 V,600 mΩ,12 nC,0.51 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r600p6-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPB65R150CFD,https://www.infineon.com/part/IPB65R150CFD,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R150CFDATMA2,PG-TO263-3,D2PAK,Industrial,650 V,22.4 A,CoolMOS™ CFD2,4 V,150 mΩ,86 nC,1.41 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r150cfd-ds-en.pdf,3.5 V,4.5 V,,,,
SPB21N50C3,https://www.infineon.com/part/SPB21N50C3,https://www.infineon.com/package/PG-TO263-3-2,active,SPB21N50C3ATMA1,PG-TO263-3,D2PAK,Industrial,500 V,21 A,CoolMOS™ C3,,190 mΩ,95 nC,1.41 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spb21n50c3-ds-en.pdf,2.1 V,3.9 V,,,,
IPD65R660CFD,https://www.infineon.com/part/IPD65R660CFD,https://www.infineon.com/package/PG-TO252-3-341,active,IPD65R660CFDATMA2,PG-TO252-3,DPAK,Industrial,650 V,6 A,CoolMOS™ CFD2,4 V,660 mΩ,22 nC,0.49 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd65r660cfd-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPA50R380CE,https://www.infineon.com/part/IPA50R380CE,https://www.infineon.com/package/PG-TO220-3-312,active,IPA50R380CEXKSA2,PG-TO220-3,TO220 FullPAK,Standard,500 V,9.9 A,CoolMOS™ CE,3 V,380 mΩ,32 nC,0.36 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r380ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPB65R190CFD,https://www.infineon.com/part/IPB65R190CFD,https://www.infineon.com/package/PG-TO263-3-2,active,IPB65R190CFDATMA2,PG-TO263-3,D2PAK,Industrial,650 V,17.5 A,CoolMOS™ CFD2,4 V,190 mΩ,68 nC,1.13 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPD65R420CFD,https://www.infineon.com/part/IPD65R420CFD,https://www.infineon.com/package/PG-TO252-3-341,active,IPD65R420CFDATMA2,PG-TO252-3,DPAK,Industrial,650 V,8.7 A,CoolMOS™ CFD2,4 V,420 mΩ,32 nC,0.64 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd65r420cfd-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPD50R380CE,https://www.infineon.com/part/IPD50R380CE,https://www.infineon.com/package/PG-TO252-3-344,active,IPD50R380CEAUMA1,PG-TO252-3,DPAK,Standard,500 V,9.9 A,CoolMOS™ CE,3 V,380 mΩ,24.8 nC,0.34 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd50r380ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPZ65R045C7,https://www.infineon.com/part/IPZ65R045C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ65R045C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,650 V,46 A,CoolMOS™ C7,3.5 V,45 mΩ,93 nC,5.45 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz65r045c7-ds-en.pdf,3 V,4 V,,,,
IPA60R380P6,https://www.infineon.com/part/IPA60R380P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R380P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,6.5 A,CoolMOS™ P6,4 V,380 mΩ,19 nC,0.54 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r380p6-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPA60R280P6,https://www.infineon.com/part/IPA60R280P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R280P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,7.7 A,CoolMOS™ P6,4 V,280 mΩ,25.5 nC,0.69 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r280p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPW60R190P6,https://www.infineon.com/part/IPW60R190P6,https://www.infineon.com/package/PG-TO247-3-41,active,IPW60R190P6FKSA1,PG-TO247-3,TO247,Industrial,600 V,20.2 A,CoolMOS™ P6,4 V,190 mΩ,37 nC,1.23 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r190p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPW60R070P6,https://www.infineon.com/part/IPW60R070P6,https://www.infineon.com/package/PG-TO247-3-44,active,IPW60R070P6XKSA1,PG-TO247-3,TO247,Industrial,600 V,53.5 A,CoolMOS™ P6,4 V,70 mΩ,100 nC,2.48 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r070p6-ds-en.pdf,3.5 V,4.5 V,,,,
SPW16N50C3,https://www.infineon.com/part/SPW16N50C3,https://www.infineon.com/package/PG-TO247-3-21,active,SPW16N50C3FKSA1,PG-TO247-3,TO247,Industrial,500 V,16 A,CoolMOS™ C3,,280 mΩ,66 nC,1.51 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spw16n50c3-ds-en.pdf,2.1 V,3.9 V,,,,
IPP50R280CE,https://www.infineon.com/part/IPP50R280CE,https://www.infineon.com/package/PG-TO220-3-1,active,IPP50R280CEXKSA1,PG-TO220-3,TO220,Standard,500 V,13 A,CoolMOS™ CE,3 V,280 mΩ,32.6 nC,0.39 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw50r280ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPA65R150CFD,https://www.infineon.com/part/IPA65R150CFD,https://www.infineon.com/package/PG-TO220-3-313,active,IPA65R150CFDXKSA2,PG-TO220-3,TO220 FullPAK,Industrial,650 V,22.4 A,CoolMOS™ CFD2,4 V,150 mΩ,86 nC,1.41 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r150cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPA50R950CE,https://www.infineon.com/part/IPA50R950CE,https://www.infineon.com/package/PG-TO220-3-312,active,IPA50R950CEXKSA2,PG-TO220-3,TO220 FullPAK,Standard,500 V,4.3 A,CoolMOS™ CE,3 V,950 mΩ,10.5 nC,0.24 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipa50r950ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPD50R280CE,https://www.infineon.com/part/IPD50R280CE,https://www.infineon.com/package/PG-TO252-3-344,active,IPD50R280CEAUMA1,PG-TO252-3,DPAK,Standard,500 V,13 A,CoolMOS™ CE,3 V,280 mΩ,32.6 nC,0.45 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipd50r280ce-ds-en.pdf,2.5 V,3.5 V,,,,
IPD60R380P6,https://www.infineon.com/part/IPD60R380P6,https://www.infineon.com/package/PG-TO252-3-313,active,IPD60R380P6ATMA1,PG-TO252-3,DPAK,Industrial,600 V,10.6 A,CoolMOS™ P6,4 V,380 mΩ,19 nC,0.47 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r380p6-datasheet-en.pdf,3.5 V,4.5 V,,,,
IPP60R160P6,https://www.infineon.com/part/IPP60R160P6,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R160P6XKSA1,PG-TO220-3,TO220,Industrial,600 V,23.8 A,CoolMOS™ P6,4 V,160 mΩ,44 nC,1.06 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r160p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPA60R230P6,https://www.infineon.com/part/IPA60R230P6,https://www.infineon.com/package/PG-TO220-3-111,active,IPA60R230P6XKSA1,PG-TO220-3,TO220 FullPAK ,Industrial,600 V,8.6 A,CoolMOS™ P6,4 V,230 mΩ,31 nC,0.78 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r230p6-ds-en.pdf,3.5 V,4.5 V,,,,
IPZ65R065C7,https://www.infineon.com/part/IPZ65R065C7,https://www.infineon.com/package/PG-TO247-4-1,active,IPZ65R065C7XKSA1,PG-TO247-4,TO247 4-pin,Industrial,650 V,33 A,CoolMOS™ C7,3.5 V,65 mΩ,65 nC,3.33 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipz65r065c7-ds-en.pdf,3 V,4 V,,,,
IPP60R125P6,https://www.infineon.com/part/IPP60R125P6,https://www.infineon.com/package/PG-TO220-3-1,active,IPP60R125P6XKSA1,PG-TO220-3,TO220,Industrial,600 V,30 A,CoolMOS™ P6,4 V,125 mΩ,56 nC,1.58 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx60r125p6-ds-en.pdf,3.5 V,4.5 V,,,,
SPW32N50C3,https://www.infineon.com/part/SPW32N50C3,https://www.infineon.com/package/PG-TO247-3-21,active,SPW32N50C3FKSA1,PG-TO247-3,TO247,Industrial,500 V,32 A,CoolMOS™ C3,,110 mΩ,170 nC,3.74 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-spw32n50c3-ds-en.pdf,2.1 V,3.9 V,,,,
IPP65R310CFD,https://www.infineon.com/part/IPP65R310CFD,https://www.infineon.com/package/PG-TO220-3-123,active,IPP65R310CFDXKSA2,PG-TO220-3,TO220,Industrial,650 V,11.4 A,CoolMOS™ CFD2,4 V,310 mΩ,41 nC,0.84 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r310cfd-ds-en.pdf,3.5 V,4.5 V,,,,
IPW65R190CFD,https://www.infineon.com/part/IPW65R190CFD,https://www.infineon.com/package/PG-TO247-3-41,active,IPW65R190CFDFKSA2,PG-TO247-3,TO247,Industrial,650 V,17.5 A,CoolMOS™ CFD2,4 V,190 mΩ,68 nC,1.39 ,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipx65r190cfd-ds-en.pdf,3.5 V,4.5 V,,,,
